Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Postage & Carriage,QAH Patient Communications,QUADIENT,906555,47785.22
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,Core Finance,LOGEX HEALTHCARE ANALYTICS LTD,53637903,-29625
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Prostheses - Hips,Theatres - Non Pay,STRYKER UK LTD,53784530,19921.3
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Prostheses - Knees,Theatres - Non Pay,STRYKER UK LTD,53784530,19074.29
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Maint Contract,NEONATAL UNIT,SYSTEM C HEALTHCARE LTD,53905799,26742.62
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SrvcsRecd-FoundationTrust,MATERNITY MANAGEMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53918419,50357.41
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,E-PRESCRIBING,VARIAN MEDICAL SYSTEMS UK LTD (VMS),53954606,312369.12
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,E-PRESCRIBING,VARIAN MEDICAL SYSTEMS UK LTD (VMS),53954613,126408
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53958344,83733.46
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,SYSMEX UK LTD,53987286,174432.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Software/License,Corporate Cancer Team,BOXXE LTD,54000084,76666.64
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54015967,282666
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54015968,355167.89
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,NOVINITI LTD,54024181,33875.9
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,54024405,799640.66
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,54024683,80079.02
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,54024686,91653.12
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,BAYER PLC,54024708,39508.8
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,BAYER PLC,54024794,65696.83
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54025008,54250.27
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,54025078,136800
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,MAWDSLEY BROOKS & CO LTD,54025107,25056
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,54025188,29136.1
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,54030122,21880.9
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,ENT CENTRAL STATEMENT,MEDICANA WINCHESTER LTD,54030188,110840.8
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,IT HEALTH UK LTD,54030322,139128
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,INSIGHT DIRECT (UK) LTD,54030375,82704.71
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Taxi & Other Vehicle Hire,Staff Car Parking,FIRST HAMPSHIRE & DORSET LTD,54031643,49090.23
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Reagents,Blood Sciences,THERMO FISHER DIAGNOSTICS LTD,54047056,30812.7
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,54047101,38247.97
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,BARIATRIC SURGERY,STREAMLINE CLINICS LTD,54049042,55144
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Audit Fees: Internal,TRUST CENTRAL EXPENSES,BDO LLP,54049703,36400
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Test Kits,Microbiology,BIOMERIEUX UK LTD,54050869,113396.35
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,INSIGHT DIRECT (UK) LTD,54050918,46582.57
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,MAWDSLEY BROOKS & CO LTD,54055925,62437.92
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,54055973,31668
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,IT Technical Services,SYSTEM C HEALTHCARE LTD,54058474,98634
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,54058487,62570.16
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,XMA LTD,54058502,153132.98
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,IT Technical Services,XMA LTD,54058502,10590.48
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Med & Surg Equip General,Primary Care Centre,PORTSMOUTH PRIMARY CARE ALLIANCE LTD,54060782,179330.65
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Capital Non Pay Costs,Balance Sheet,AMICUS ITS LTD,54063220,70000
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54068339,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54068344,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,54068347,27009.6
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,54068453,27051.21
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,BAYER PLC,54068554,197090.5
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,54068631,45168.34
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54068659,117600
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Independent Sector,Endoscopy,XYLA ELECTIVE CARE,54073392,105259
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,54075050,111355.2
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Rent,Corporate Hub,AVISON YOUNG (UK) LTD,54077395,173267.86
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Service Charge,Corporate Hub,AVISON YOUNG (UK) LTD,54077395,73617.41
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Commercial Sector,Histopathology,POUNDBURY CANCER INSTITUTE,54077396,88398
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54077402,60198.78
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,54077403,430957.68
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Limbs,Limbs,HUGH STEEPER LTD,54079220,105503.64
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Patients Appl: Purchase,Orthotics,HUGH STEEPER LTD,54079220,90883.89
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54080983,56119.21
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,54080994,61646.62
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Laboratory Test Kits,Microbiology,ROCHE DIAGNOSTICS LTD,54088830,109158.82
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Interpreting services,patient experience services,DA LANGUAGES LTD,54088835,31363.63
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Other Liabilities - Curr,Balance Sheet,HOSPITAL COMPANY QAH PORTSMOUTH LTD,54089379,7808436.9
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Other recvables - Current,Balance Sheet,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,54089420,300089.15
Department of Health,Portsmouth Hospitals University NHS Trust,30/04/2025,Prostheses,Theatres - Non Pay,MEDARTIS LTD,54089452,31175.45
