Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,Endoscopy,XYLA ELECTIVE CARE,52003740,117368
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Independent Sector,Endoscopy,XYLA ELECTIVE CARE,52365564,183352
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,INTEGRATED HEALTH PROJECTS,52490597,3161082
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,52697512,31873.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Limbs,Limbs,HUGH STEEPER LTD,52860895,128917.43
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Limbs,Limbs,HUGH STEEPER LTD,52884535,164928.7
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Patients Appl: Purchase,Orthotics,HUGH STEEPER LTD,52884535,81523.94
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,T-PRO,52897377,187500
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Equip General,OUTPATIENTS CLINICAL,SUPPLY CHAIN COORDINATION LIMITED,52906728,37118.3
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Rent,NHS Fareham Dialysis,PORTAKABIN LTD,52906756,58299.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Equip Hire,BBEC Project,ARJO UK LTD,52918763,26984.88
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Contr Photocopier Rental,Managed Print Service,ALTODIGITAL NETWORKS LTD,52918771,140708.78
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Reagents,Transfusion Services,SUPPLY CHAIN COORDINATION LIMITED,52918778,30320.69
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Taxi & Other Vehicle Hire,Staff Car Parking,FIRST HAMPSHIRE & DORSET LTD,52919246,49090.23
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Med & Surg Maint Contract,Theatres - Non Pay,STRYKER UK LTD,52926605,31539.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,52938635,32123.52
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,AAH PHARMACEUTICALS LTD,52938750,30798
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,52938825,49200
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,52939015,34343.06
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,52939046,32313.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,52939143,29558.16
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,52939147,45360
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,X-Ray Equipment Purchase,MRI - Non Pay,ALLIANCE MEDICAL LTD,52945602,49041.85
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Capital Non Pay Costs,Balance Sheet,INTEGRATED HEALTH PROJECTS,52945661,3664435.18
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Sterile Products,HOME HAEMO SERVICE,FRESENIUS MEDICAL CARE UK LTD,52946244,135009.1
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Sterile Products,HOME HAEMO SERVICE,FRESENIUS MEDICAL CARE UK LTD,52946247,136173.93
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Sterile Products,HOME HAEMO SERVICE,FRESENIUS MEDICAL CARE UK LTD,52946249,146942.19
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,52946258,407081.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,52946260,388415.46
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,52946267,51905.74
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,52946271,470346.03
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Commercial Sector,Dermatology-IOW,LIGHTHOUSE MEDICAL LTD,52946711,119327
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Contr Estate Management,Energy and Utilities QAH,OVE ARUP & PARTNERS,52947251,70000
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,52950228,46576.8
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,52950231,97080
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,52950474,53497.25
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,52955988,38247.97
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,Laboratory External Tests,Transplant Non Pay,NHS BLOOD & TRANSPLANT,52958292,75581.59
Department of Health,Portsmouth Hospitals University NHS Trust,31/12/2024,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,52958316,48547.6
