Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Postage & Carriage,QAH Patient Communications,QUADIENT,906555,61636.95
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Recovery Costs,ALLIANCE MEDICAL LTD,52739288,59850
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,53143946,235555
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Recovery Costs,TIC MOBILE LTD,53226114,31000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Other recvables - Current,Balance Sheet,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,53297859,297257.91
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SrvcsRecd-FoundationTrust,MATERNITY MANAGEMENT,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53386117,42317.19
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory Chemicals,Neonatal Screening (Chem),REVVITY (UK) LTD,53452512,29635.2
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,Endoscopy,XYLA ELECTIVE CARE,53452516,84808
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Maintenance,PACs/CRIS Consortium,MAGENTUS SOFTWARE LTD,53453549,36644.31
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Maintenance,PACs/CRIS Consortium,MAGENTUS SOFTWARE LTD,53453550,184297.63
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Rent,NHS Fareham Dialysis,PORTAKABIN LTD,53457369,58299.64
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Capital Non Pay Costs,Balance Sheet,ANETIC AID LTD,53467452,80031.24
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,GENMED ME LTD,53481217,426908.47
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,GENMED ME LTD,53481263,-426908.47
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Secndd staff frm othr org,E-PRESCRIBING,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,53481370,28536.42
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53481480,418901.25
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,PULSE HEALTHCARE LTD,53481489,53973.8
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Bldg/Eng Equip Maint/Rep,Manor Court,GCRA PROJECTS LTD,53484815,58005.34
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486811,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486813,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486815,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486818,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486820,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486824,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486825,27823.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53486834,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53486849,25740
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,B BRAUN MEDICAL LTD,53486855,27890.88
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ROCHE PRODUCTS LTD,53486931,33936.91
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLOGA UK LTD,53486933,30489
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALEXION PHARMA UK LTD,53487203,37800
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,Renal Non Pay,SOFTCAT PLC,53491943,180000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Contr Estate Management,Energy and Utilities QAH,OVE ARUP & PARTNERS,53491947,50000
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Maintenance,IT Technical Services,SYSTEM C HEALTHCARE LTD,53491949,94840.5
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Taxi & Other Vehicle Hire,Staff Car Parking,FIRST HAMPSHIRE & DORSET LTD,53491954,51427.86
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53494338,30400
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,FP10S,FP10S TO RECHARGE,NHS BUSINESS SERVICES AUTHORITY,53494359,46448.68
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,BAYER PLC,53495299,46535.26
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,GE HEALTHCARE LTD,53495342,30423.74
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53498616,25652.64
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53499041,26983.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Contr Photocopier Rental,Managed Print Service,ALTODIGITAL NETWORKS LTD,53503248,140708.78
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Commercial Sector,Dermatology-IOW,LIGHTHOUSE MEDICAL LTD,53503298,119327
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53509089,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53509134,54807.84
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53509150,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUANTUM PHARMACEUTICAL LTD,53509155,33781.92
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Audit Fees: Statutory,TRUST CENTRAL EXPENSES,ERNST & YOUNG LLP,53515487,162576
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Med & Surg Equip General,QAH Audiology,ELIZABETH FOUNDATION,53516967,51361.8
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,53517542,6374.66
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Hardware Purch,PACs/CRIS Consortium,CHG-MERIDIAN UK LTD,53517908,35456.24
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,IT Technical Services,FRESHWORKS UK LTD,53520237,96209.43
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Other recvables - Current,Balance Sheet,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,53520249,263643.75
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,53522985,35645.4
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,QUALASEPT LTD T/A BATH ASU,53522996,46599
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53523066,46700.7
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ABBOTT LABORATORIES LTD,53523126,32630.4
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53523179,104400
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53523365,236183.04
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53523599,32123.52
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53523643,41580
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,NOVARTIS PHARMACEUTICALS UK LTD,53523902,34944
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,CSL BEHRING UK LTD,53523930,89320
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Independent Sector,ENT CENTRAL STATEMENT,SURGICAL CONSORTIUM LTD ( THE),53526829,27188
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53526888,436740.14
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Enteral Feeding,Nutritional Nurses,NUTRICIA LTD,53526896,44054.74
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Interpreting services,patient experience services,DA LANGUAGES LTD,53526904,27519.61
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Other Liabilities - Curr,Balance Sheet,HOSPITAL COMPANY QAH PORTSMOUTH LTD,53527563,8689075.36
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,JANSSEN CILAG LTD,53535760,54414.18
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,ALLIANCE HEALTHCARE DISTRIBUTION LTD,53535774,26542.28
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Legal / Prof Fees,Governance and Risk,MILLS & REEVE LLP,53549522,73776
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,Computer Software/License,QAH Patient Communications,HEALTHCARE COMMUNICATIONS UK LTD,53550228,35191.5
Department of Health,Portsmouth Hospitals University NHS Trust,28/02/2025,SYS Inventory,Balance Sheet,PHOENIX HEALTHCARE DISTRIBUTION LTD,53553125,39381.6
