Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Total
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,PACs/CRIS Consortium,SECTRA LTD,53155318,355018.66
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,EYE MEDICAL STAFF,TOUKANEYES LTD,53280228,78260
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Maintenance,Radiotherapy Physics,RAYSEARCH LABORATORIES,53349271,119635
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Chemicals,Neonatal Screening (Chem),REVVITY (UK) LTD,53360321,22667.4
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Test Kits,Microbiology,BIOMERIEUX UK LTD,53389017,79561.2
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Laboratory Chemicals,Blood Sciences,RADIOMETER LTD,53517542,31873.31
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Prostheses - Other,Theatres - Non Pay,JOHNSON & JOHNSON MEDICAL LTD,53715506,46746.48
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,INTEGRATED HEALTH PROJECTS,53720211,434135.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Training Expenses,LEADERSHIP & MANAGEMENT,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,53721223,33000
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Rent,NHS Fareham Dialysis,PORTAKABIN LTD,53721668,58299.64
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Drugs,Onc/Haem OPD B Level,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,53734390,432752
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Theatres - Non Pay,INTUITIVE SURGICAL LTD,53734806,41833.01
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Equip Maint Contracts,PHT Main X-Ray,SUPPLY CHAIN COORDINATION LIMITED,53735019,43705.58
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Computer Software/License,Office 365,TRUSTMARQUE SOLUTIONS LTD,53741880,762212.45
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Taxi & Other Vehicle Hire,Staff Car Parking,FIRST HAMPSHIRE & DORSET LTD,53760286,46752.6
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,NonNHS Trade Pybls Curr,Balance Sheet,SUPPLY CHAIN COORDINATION LIMITED,53761812,570465.24
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Theatres - Non Pay,ELIS UK,53761815,27937.91
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Med & Surg Equip General,Cardiac Cath Lab,SUPPLY CHAIN COORDINATION LIMITED,53762700,126485.1
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Equip Maint Contracts,PHT Main X-Ray,SUPPLY CHAIN COORDINATION LIMITED,53762702,220029.33
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,XOGRAPH HEALTHCARE LTD,53763773,33477.12
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Capital Non Pay Costs,Balance Sheet,XOGRAPH HEALTHCARE LTD,53763778,63510
Department of Health,Portsmouth Hospitals University NHS Trust,31/03/2025,Commercial Sector,CDC-RODNEY ROAD,ALLIANCE MEDICAL LTD,53763780,40781.8
